日期,确诊,治愈,死亡,新增确诊
1.26,100,0,0,31
1.27,143,0,0,43
1.28,221,0,0,78
1.29,277,0,0,56
1.30,332,2,0,55
1.31,389,3,0,57
2.1,463,8,0,74
2.2,521,16,0,58
2.3,593,22,0,72
2.4,661,35,0,68
2.5,711,56,0,50
2.6,772,91,0,61
2.7,803,119,0,31
2.8,838,159,1,35
2.9,879,186,1,41
2.10,912,213,1,33
2.11,946,263,2,34
2.12,968,312,2,22
2.13,988,352,2,20
2.14,1001,389,2,13
2.15,1004,430,3,3
2.16,1006,467,3,2
2.17,1007,501,4,1
2.18,1008,542,4,1
2.19,1010,578,4,2
2.20,1011,638,4,1
2.21,1013,670,4,2
2.22,1016,704,4,3
2.23,1016,721,4,0
2.24,1016,751,4,0
2.25,1016,779,4,0
2.26,1017,793,4,1
2.27,1017,820,4,0
2.28,1018,841,4,1
2.29,1018,853,4,0
3.1,1018,876,4,0
3.2,1018,892,4,0
3.3,1018,913,4,0
3.4,1018,933,4,0
3.5,1018,946,4,0
3.6,1018,959,4,0
3.7,1018,965,4,0
3.8,1018,979,4,0
3.9,1018,988,4,0
3.10,1018,995,4,0
3.11,1018,998,4,0
3.12,1018,1004,4,0
3.13,1018,1009,4,0
3.14,1018,1014,4,0
3.15,1018,1014,4,0
3.16,1018,1014,4,0
3.17,1018,1014,4,0
3.18,1018,1014,4,0
3.19,1018,1014,4,0
3.20,1018,1014,4,0
3.21,1018,1014,4,0
3.22,1018,1014,4,0
3.23,1018,1014,4,0
3.24,1018,1014,4,0
3.25,1018,1014,4,0
3.26,1018,1014,4,0
3.27,1018,1014,4,0
3.28,1018,1014,4,0
3.29,1018,1014,4,0
3.30,1018,1014,4,0
3.31,1018,1014,4,0
4.1,1019,1014,4,1
4.2,1019,1014,4,0
4.3,1019,1014,4,0
4.4,1019,1014,4,0
4.5,1019,1014,4,0
4.6,1019,1014,4,0
4.7,1019,1014,4,0
4.8,1019,1014,4,0
4.9,1019,1014,4,0
4.10,1019,1014,4,0
4.11,1019,1014,4,0
4.12,1019,1014,4,0
4.13,1019,1014,4,0
4.14,1019,1014,4,0
