"cityName"	"currentConfirmedCount"	"confirmedCount"	"suspectedCount"	"curedCount"	"deadCount"	"locationId"
"境外输入"	"85"	"1069"	"4"	"984"	"0"	"0"
"浦东新区"	"3"	"68"	"0"	"64"	"1"	"310115"
"外地来沪"	"0"	"113"	"0"	"112"	"1"	"0"
"宝山区"	"0"	"22"	"0"	"21"	"1"	"310113"
"闵行区"	"0"	"19"	"0"	"19"	"0"	"310112"
"徐汇区"	"0"	"18"	"0"	"17"	"1"	"310104"
"静安区"	"0"	"16"	"0"	"15"	"1"	"310106"
"松江区"	"0"	"14"	"0"	"14"	"0"	"310117"
"长宁区"	"0"	"13"	"0"	"13"	"0"	"310105"
"普陀区"	"0"	"11"	"0"	"11"	"0"	"310107"
"杨浦区"	"0"	"9"	"0"	"9"	"0"	"310110"
"嘉定区"	"0"	"9"	"0"	"7"	"2"	"310114"
"奉贤区"	"0"	"9"	"0"	"9"	"0"	"310120"
"虹口区"	"0"	"7"	"0"	"7"	"0"	"310109"
"黄浦区"	"0"	"6"	"0"	"6"	"0"	"310101"
"青浦区"	"0"	"6"	"0"	"6"	"0"	"310118"
"金山区"	"0"	"4"	"0"	"4"	"0"	"310116"
"崇明区"	"0"	"4"	"0"	"4"	"0"	"310151"
"境外来沪"	"0"	"1"	"0"	"1"	"0"	"0"
"成都"	"41"	"441"	"13"	"397"	"3"	"510100"
"甘孜州"	"0"	"78"	"0"	"78"	"0"	"513300"
"达州"	"0"	"42"	"0"	"42"	"0"	"511700"
"南充"	"0"	"39"	"0"	"39"	"0"	"511300"
"广安"	"0"	"30"	"0"	"30"	"0"	"511600"
"泸州"	"0"	"24"	"0"	"24"	"0"	"510500"
"巴中"	"0"	"24"	"0"	"24"	"0"	"511900"
"绵阳"	"0"	"22"	"0"	"22"	"0"	"510700"
"内江"	"0"	"22"	"0"	"22"	"0"	"511000"
"德阳"	"0"	"18"	"0"	"18"	"0"	"510600"
"遂宁"	"0"	"17"	"0"	"17"	"0"	"510900"
"攀枝花"	"0"	"16"	"0"	"16"	"0"	"510400"
"凉山州"	"0"	"14"	"1"	"14"	"0"	"513400"
"宜宾"	"0"	"12"	"0"	"12"	"0"	"511500"
"自贡"	"0"	"9"	"0"	"9"	"0"	"510300"
"眉山"	"0"	"8"	"0"	"8"	"0"	"511400"
"雅安"	"0"	"8"	"0"	"8"	"0"	"511800"
"广元"	"0"	"6"	"0"	"6"	"0"	"510800"
"资阳"	"0"	"4"	"0"	"4"	"0"	"512000"
"乐山"	"0"	"3"	"0"	"3"	"0"	"511100"
"阿坝州"	"0"	"1"	"0"	"1"	"0"	"513200"
"广州"	"33"	"897"	"9"	"863"	"1"	"440100"
"深圳"	"5"	"476"	"1"	"468"	"3"	"440300"
"珠海"	"2"	"112"	"1"	"109"	"1"	"440400"
"阳江"	"2"	"16"	"0"	"14"	"0"	"441700"
"惠州"	"1"	"63"	"0"	"62"	"0"	"441300"
"佛山"	"0"	"102"	"1"	"102"	"0"	"440600"
"东莞"	"0"	"101"	"0"	"100"	"1"	"441900"
"中山"	"0"	"69"	"0"	"69"	"0"	"442000"
"湛江"	"0"	"30"	"2"	"30"	"0"	"440800"
"汕头"	"0"	"26"	"0"	"26"	"0"	"440500"
"江门"	"0"	"24"	"0"	"24"	"0"	"440700"
"肇庆"	"0"	"20"	"0"	"19"	"1"	"441200"
"梅州"	"0"	"17"	"0"	"17"	"0"	"441400"
"茂名"	"0"	"17"	"0"	"17"	"0"	"440900"
"清远"	"0"	"12"	"0"	"12"	"0"	"441800"
"揭阳"	"0"	"11"	"0"	"11"	"0"	"445200"
"韶关"	"0"	"10"	"0"	"9"	"1"	"440200"
"潮州"	"0"	"7"	"0"	"7"	"0"	"445100"
"汕尾"	"0"	"6"	"0"	"6"	"0"	"441500"
"河源"	"0"	"5"	"0"	"5"	"0"	"441600"
"待明确地区"	"-3"	"0"	"0"	"3"	"0"	"0"
"境外输入人员"	"32"	"206"	"1"	"174"	"0"	"0"
"福州"	"0"	"72"	"0"	"71"	"1"	"350100"
"莆田"	"0"	"56"	"0"	"56"	"0"	"350300"
"泉州"	"0"	"47"	"0"	"47"	"0"	"350500"
"厦门"	"0"	"35"	"0"	"35"	"0"	"350200"
"宁德"	"0"	"26"	"0"	"26"	"0"	"350900"
"漳州"	"0"	"20"	"0"	"20"	"0"	"350600"
"南平"	"0"	"20"	"0"	"20"	"0"	"350700"
"三明"	"0"	"14"	"0"	"14"	"0"	"350400"
"龙岩"	"0"	"6"	"0"	"6"	"0"	"350800"
"呼伦贝尔"	"21"	"37"	"0"	"16"	"0"	"150700"
"境外输入人员"	"5"	"237"	"34"	"232"	"0"	"0"
"鄂尔多斯"	"0"	"11"	"0"	"11"	"0"	"150600"
"包头"	"0"	"11"	"0"	"11"	"0"	"150200"
"赤峰"	"0"	"9"	"0"	"9"	"0"	"150400"
"锡林郭勒盟"	"0"	"9"	"0"	"9"	"0"	"152500"
"巴彦淖尔"	"0"	"8"	"0"	"7"	"1"	"150800"
"呼和浩特"	"0"	"7"	"0"	"7"	"0"	"150100"
"通辽"	"0"	"7"	"0"	"7"	"0"	"150500"
"乌兰察布"	"0"	"3"	"0"	"3"	"0"	"150900"
"乌海市"	"0"	"2"	"0"	"2"	"0"	"150300"
"兴安盟"	"0"	"1"	"0"	"1"	"0"	"152200"
"境外输入"	"16"	"257"	"0"	"241"	"0"	"0"
"西安"	"0"	"120"	"0"	"117"	"3"	"610100"
"安康"	"0"	"26"	"0"	"26"	"0"	"610900"
"汉中"	"0"	"26"	"0"	"26"	"0"	"610700"
"咸阳"	"0"	"17"	"0"	"17"	"0"	"610400"
"渭南"	"0"	"15"	"0"	"15"	"0"	"610500"
"宝鸡"	"0"	"13"	"0"	"13"	"0"	"610300"
